nodes,method,feasible,within_budget,wall_ns,operations,read_bytes,write_bytes,released,peak_slots,correct,tasks
128,retain_all,False,False,0,0,0,0,0,0,0,30
128,fixed_checkpoint,True,True,5491169,3550,1817600,908800,3520,25,30,30
128,static_optimal,True,True,5462790,3550,1817600,908800,3520,25,30,30
128,static_pareto,True,True,509794,135,69120,34560,64,64,30,30
128,ce_tcmk_h6,True,True,481375,135,69120,34560,64,64,30,30
128,full_state_oracle,True,True,477497,135,69120,34560,64,64,30,30
128,migration_greedy,True,True,5487710,3550,1817600,908800,3520,25,30,30
128,execution_only_no_behavior,True,True,5455043,3550,1817600,908800,3520,25,30,30
128,behavior_only_temp_search,True,True,496080,135,69120,34560,64,64,30,30
128,random_architecture_columns,True,True,497875,135,69120,34560,64,64,30,30
128,greedy_bridge_addition,True,True,484998,135,69120,34560,64,64,30,30
128,morph_n,False,False,0,0,0,0,0,0,0,30
128,dtr_greedy,True,True,352791,126,64512,32256,94,33,30,30
512,retain_all,False,False,0,0,0,0,0,0,0,30
512,fixed_checkpoint,True,True,21097753,13641,6984192,3492096,13611,110,30,30
512,static_optimal,True,True,21044375,13641,6984192,3492096,13611,110,30,30
512,static_pareto,True,True,1781416,518,265216,132608,255,256,30,30
512,ce_tcmk_h6,True,True,1793251,518,265216,132608,255,256,30,30
512,full_state_oracle,True,True,1763002,518,265216,132608,255,256,30,30
512,migration_greedy,True,True,21071123,13641,6984192,3492096,13611,110,30,30
512,execution_only_no_behavior,True,True,21197918,13641,6984192,3492096,13611,110,30,30
512,behavior_only_temp_search,True,True,1820919,518,265216,132608,255,256,30,30
512,random_architecture_columns,True,True,1799125,518,265216,132608,254,256,30,30
512,greedy_bridge_addition,True,True,1770042,518,265216,132608,255,256,30,30
512,morph_n,False,False,0,0,0,0,0,0,0,30
512,dtr_greedy,True,True,1773378,765,391680,195840,509,256,30,30
1000,retain_all,False,False,0,0,0,0,0,0,0,30
1000,fixed_checkpoint,True,True,45036833,28684,14686208,7343104,28654,197,30,30
1000,static_optimal,True,True,46175041,28684,14686208,7343104,28654,197,30,30
1000,static_pareto,True,True,3383332,1020,522240,261120,511,500,30,30
1000,ce_tcmk_h6,True,True,3318373,1020,522240,261120,511,500,30,30
1000,full_state_oracle,True,True,3221542,1020,522240,261120,511,500,30,30
1000,migration_greedy,True,True,44675167,28684,14686208,7343104,28654,197,30,30
1000,execution_only_no_behavior,True,True,45281375,28684,14686208,7343104,28654,197,30,30
1000,behavior_only_temp_search,True,True,3274333,1020,522240,261120,511,500,30,30
1000,random_architecture_columns,True,True,3464000,1011,517632,258816,500,500,30,30
1000,greedy_bridge_addition,True,True,3279250,1020,522240,261120,511,500,30,30
1000,morph_n,False,False,0,0,0,0,0,0,0,30
1000,dtr_greedy,True,True,3016746,1246,637952,318976,616,500,30,30
